,0
0,252.24432039325882
1,253.13779460177568
2,253.29237373329644
3,253.31911732328925
4,253.32374420661216
5,253.32454469933919
6,253.32468319183215
7,253.32470715228794
8,253.32471129766384
9,253.32471201485143
10,253.32471213893137
11,253.32471216039832
12,868.4810122975534
13,590.2872893155684
14,859.8125197496636
15,598.6856723791489
16,851.6758295820287
17,606.5688239790311
18,844.0383163098734
19,613.9683529926833
20,836.8693559856408
21,620.9139291280828
22,830.1402034069094
23,627.4334018896097
24,21.93018899822045
25,21.864003927844074
26,21.92849194504806
27,21.90643025501476
28,21.887762671122523
29,21.889459724207605
30,21.903036148888255
31,21.996374068640485
32,21.938674263645858
33,22.11007662534093
34,22.16947348328967
35,22.254326137689254
36,18.265653985320057
37,19.336560522672187
38,18.29311312723479
39,18.650081973028534
40,18.95213253496371
41,18.92467339284525
42,18.70500025700352
43,17.19474744761868
44,18.128358275222524
45,15.354984934558559
46,14.393914964923567
47,13.02095786546164
48,28.45768036574271
49,28.41032442129916
50,28.456466110636832
51,28.44068079593388
52,28.427323991049782
53,28.428538245966486
54,28.4382522859404
55,28.5050363100844
56,28.463751640493577
57,28.58639139404375
58,28.628890318573106
59,28.6896030678571
60,1272.3308788826635
61,1093.065185487265
62,1074.4269754206707
63,1137.1191366082003
64,943.6206282982549
65,988.6912090163624
66,996.1464930623716
67,883.978355995374
68,976.491653311061
69,1000.2130116159043
70,759.6106632417014
71,908.7163439309171
72,1370.2767393222189
73,1384.3168937606847
74,1385.7766451720258
75,1380.8665722567698
76,1396.0214459575823
77,1392.4915016392356
78,1391.90760108513
79,1400.692650452826
80,1393.4469752876198
81,1391.5891098646557
82,1410.4331734907923
83,1398.7551622284686
84,807.9378029557711
85,744.0991555119699
86,737.4618670160717
87,759.7872919424271
88,690.8801696228629
89,706.9303399941718
90,709.5852553744635
91,669.6408465050927
92,702.5859329572713
93,711.033391041944
94,625.3520305848515
95,678.4503384635618
96,673.7066853327232
97,779.9486394688402
98,565.6317066619148
99,731.0495044411036
100,888.8583852438476
101,927.0711341712667
102,1032.090159508855
103,963.3307666270401
104,939.0726551674484
105,814.2442120722171
106,888.0252063023535
107,856.1009343009755
108,539.6645787645588
109,557.8360521991549
110,548.9439681734266
111,578.4053994022379
112,605.6161218390499
113,611.3675442235458
114,606.0564554113877
115,607.2808765287849
116,603.7221655558782
117,574.5620400872067
118,578.3391925336323
119,573.2330383444605
120,496.35067896527005
121,487.30049043875886
122,522.7386605439777
123,519.6042911259527
124,524.0872481314535
125,520.202929973423
126,491.34101126325083
127,502.71997526270104
128,503.3029603956337
129,492.4044627545471
130,484.8882162792678
131,485.7540083302255
132,170.65259519269637
133,163.69909242045867
134,158.5022640325045
135,160.40532794901844
136,165.5289615707228
137,161.06408084330212
138,160.55171748102327
139,153.45182517604587
140,150.89000836528464
141,145.9859590417185
142,157.84351113864284
143,164.79701391072774
144,111.54561317728647
145,111.57003871813347
146,111.58829359576183
147,111.58160871126009
148,111.56361094411685
149,111.5792947122957
150,111.58109448935855
151,111.60603425235448
152,111.61503313541314
153,111.63225956982777
154,111.59060759418051
155,111.56618205360999
156,951.8476396751242
157,941.52869447727
158,947.7441301083776
159,955.0606407142362
160,955.7104641186191
161,964.4409667876201
162,982.7563646713855
163,971.9500519203606
164,965.5721604380409
165,966.5890088345508
166,961.7153333019118
167,972.1606183679427
168,10.26075815702579
169,11.93735370447204
170,11.155464432025012
171,11.216694002620542
172,11.298245075091089
173,10.83580938506363
174,11.10644256176156
175,10.74387264663039
176,10.82157371136806
177,10.641799424827596
178,10.562731993269304
179,10.495179525049277
180,31.44130391453087
181,30.413494172231346
182,29.671348396097606
183,28.880990246333333
184,28.12898703059087
185,27.39204034081701
186,26.67558303352653
187,25.977556159692185
188,25.2978754901323
189,24.63595698193103
190,23.991363076879253
191,23.363633375129595
192,56.92628722405625
193,66.74099464433354
194,58.857668152736096
195,65.18967927766542
196,60.1037089161735
197,64.18883984971445
198,60.90759879677253
199,63.54314292563086
200,61.42623266421259
201,63.12656809241852
202,61.760832085038004
203,62.85781260483094
204,101.4238745259006
205,49.321369146311326
206,54.4140952411924
207,32.28032415368375
208,28.754590706282897
209,15.435153242747901
210,14.455782840342863
211,7.012567787978469
212,4.074456579133539
213,7.79606410869178
214,5.0538269824699
215,9.167182667262523
216,288.99995041914406
217,271.20068100757936
218,280.11144461815724
219,290.26157200701664
220,281.09802598087214
221,272.829751176233
222,278.13696641346485
223,282.67067164611876
224,277.1118400835618
225,272.1351441091686
226,274.89952280959517
227,277.1121109468843
228,456.28585852795806
229,434.6576410978099
230,437.58286853183967
231,428.6798794330534
232,427.71941850174784
233,422.4672630038204
234,422.4740277014535
235,419.64084779962025
236,418.7031180908298
237,420.59551260350463
238,419.6654973157258
239,421.6595915352278
240,182.00307919652693
241,186.73234691945396
242,186.27008765874922
243,188.27913748179122
244,188.59916311767444
245,189.8081488493786
246,189.8970448568885
247,190.57265452839926
248,190.83934255768105
249,190.50153772541813
250,190.75044654761
251,190.37708330791935
252,414.26517784383793
253,421.44197830611756
254,423.4177618870958
255,427.87440038175987
256,430.63483990631266
257,434.2880563229072
258,436.81636472184346
259,439.93391093986963
260,442.64077622098137
261,444.7405479346669
262,447.4295575125152
263,449.493617840456
264,587.2799099948606
265,582.0370465659273
266,576.840988104211
267,571.6913167645805
268,566.5876184321619
269,561.5294826890366
270,556.5165027812377
271,551.5482755860402
272,546.6244015795437
273,541.7444848045445
274,536.9081328386942
275,532.1149567629427
276,1394.7350402011587
277,1280.0432033118327
278,1215.0230853595226
279,1178.1624346524297
280,1157.265708941368
281,1145.419115431305
282,1138.703145679241
283,1134.8957853885108
284,1132.7373491658082
285,1131.51370691193
286,1130.8200100819163
287,1130.4267453916473
288,758.2904857199503
289,512.7646374867429
290,603.3972517500467
291,584.5540165366178
292,731.9784148388351
293,735.2279450443971
294,718.1449773531791
295,723.9822487132413
296,834.3583895452076
297,780.9165989628773
298,985.8793593109879
299,794.4827607288954
300,275.4945350600945
301,298.40689286007984
302,298.40689286007984
303,315.591161210429
304,332.7754295606181
305,332.7754295606181
306,338.5035190106326
307,344.2316084606762
308,344.2316084606762
309,344.2316084606762
310,344.2316084606762
311,286.95071396023997
312,215.47944814211894
313,215.47944814211894
314,215.47944814211894
315,215.47944814211894
316,215.47944814211894
317,215.47944814211894
318,215.47944814211894
319,219.45259598296923
320,268.7974251124318
321,252.71034399446887
322,246.01433959053918
323,237.84576990418225
324,283.41822122709317
325,283.29373152091347
326,283.2793549479515
327,282.1738527061544
328,281.18756951472557
329,280.0741146002947
330,279.3640285421894
331,307.45834351210476
332,659.2939923666004
333,544.1852582772597
334,495.88602654118483
335,436.95578070826906
336,61.320532906349165
337,61.324836423751314
338,61.32196741217171
339,61.32307524311886
340,61.32307524311886
341,61.32913994116074
342,61.332790108892134
343,61.33500577084828
344,61.333116783723874
345,61.33344345856653
346,61.33344345856653
347,61.33344345856653
348,338.0213530429849
349,338.03856803644817
350,347.4810295952111
351,344.25097944403495
352,340.11336766690545
353,338.546717247406
354,330.7226908872513
355,334.03161650797335
356,341.18976442742456
357,335.1142964039312
358,328.88943851091386
359,327.88674174640335
360,604.0104961256583
361,600.8225130493373
362,589.4805205656011
363,587.2292794129606
364,589.3546778764429
365,587.4261597453586
366,587.5042215723514
367,587.5114749902422
368,587.5099784606281
369,587.5317387131944
370,587.5244852940813
371,587.4651906585931
372,483.1206819788198
373,486.4403485207116
374,489.15098344374906
375,490.2231914170176
376,491.3220774849392
377,491.8330093629105
378,492.1574661317273
379,492.3812378112051
380,492.46401535282206
381,492.6051224369486
382,492.6321242508667
383,492.64264033615547
384,442.322962743552
385,406.9386984994137
386,451.83456239745993
387,380.05193310758955
388,378.25741117679434
389,512.5788180828469
390,494.4208285709677
391,429.36614002463364
392,405.5727307829577
393,409.65192128212345
394,387.95847884937075
395,414.3253205411491
396,193.86797378059947
397,196.01901466526562
398,193.12855347000533
399,197.6188513276773
400,197.73984737728262
401,189.31045591865205
402,190.4263083826425
403,194.4863980415883
404,195.9652386217984
405,195.6963585208776
406,197.0407590804296
407,195.37370240070396
408,120.94607529678575
409,120.60892869084667
410,122.50609523506853
411,121.13130573790107
412,121.69346287172712
413,126.04607571387535
414,126.16720500372345
415,124.9831301845932
416,124.94334387927236
417,125.67833627221214
418,125.6981483227558
419,127.05296366052045
420,197.47683692760103
421,193.6426472278699
