id,well
0,f36fd1df3bb019fb
1,bcc2bee1ebac97d3
2,81c95d4ceacb7055
3,c7cc082948c3a3bb
4,9c3e5041139b23f5
5,98029b066b7e2234
6,7302e96687ff7285
7,1870535c0f17f8ac
8,2ac0553397367df0
9,54430df580ae645d
10,ec7739c822193b17
11,34f2404e6adf12ec
12,4dca678a273b6e81
13,a49907bbe7c85bb7
14,356c4d0bbe5e2627
15,08d512c33b62650c
16,cd52b253286a08a9
17,55d88c6335438a29
18,f4e32d4b5302db9a
19,02f1be36c78dac62
20,f17861220e3a7eaf
21,1df79c64e2e68c51
22,1cff7b7ef063fb8d
23,880c75a6135925c1
24,48ae02d828d57098
25,b37646de617ce4af
26,c87463e3ee3cce0a
27,52aabd30580b4003
28,b2090b45897e65e0
29,150fe9fb5d4c2fd6
30,8f86aad10d8f08d8
31,92b4910b10bb56f3
32,44bbf98281d12cb9
33,7d03bc54c96435eb
34,a86915a9667a0d14
35,757018e366ec766d
36,c2340f1faa8e86c7
37,7e0856b4c18302c6
38,c4e6aacf60d689be
39,8980042797cfa588
40,d8bb7b066dd925af
41,c821154541f84a10
42,74efd4243b74ae42
43,4db3130c722f65cb
44,5bcf3617fb1d24de
45,3d57c2a5fc88feb3
46,8521e4925ed2c933
47,49ee8916f8882d60
48,2e8917574593e021
49,8a3b18f8abad0b85
50,1bc5aea66dfb8e59
51,e92c03804b0a571d
52,04ed5824b3dc7e80
53,6417ade1b51f2d8d
54,57b2a3e6ba37c7e6
55,623311184770bda2
56,bf4a6d233e480f15
57,cc56571e5771de87
58,7341072d1edf7736
59,6998a6222d4fb575
60,a0421d51bf9c5d31
61,290eea5abe668bec
62,3d0eb431d710db5b
63,b42ce3530f50c651
64,900014763a19377f
65,6c0d19f792e44f40
66,1abfc853aeaadadd
67,4d493b4de4d47d7d
68,58cd872bea4efe1a
69,88f80ffadf56da0d
70,a49408cccbbbb970
71,0f4dea9ae22570f9
72,fb1511820d450b13
73,76c86a6f3ff48679
74,69f32a9ba0d76ab1
75,a56610d45be93158
76,daad597dc087ee51
77,4aa714ba9c03d023
78,a3a83725892aeb64
79,d658b80789c11105
80,7f7a1dfcc88e21b2
81,aceb6445ee75adf6
82,21832dfbee738c20
83,57c0c48a88d66810
84,08fddd8ea29333d1
85,2528e6941b507abe
86,f04e18c110f880e5
87,d6e674ffc27a96c7
88,0344e59dfd369c2c
89,a381215c1edd9a9a
90,ff471554d1d39002
91,c57d607f531f796c
92,f969c7d4e3686e96
93,14199ef2abf82f01
94,d1d5de209b70d6d6
95,cb09266f9b4663ec
96,0d810d24cf8c4b62
97,b72e2e937ae8dd61
98,faa796cea642a2b4
99,4fe3454f7ceb0deb
